file_name,snr,pesq_score,ber,encode_time,decode_time,msg
CycleGAN-arf_04766_01229186883-clf_09697_016393,26.33,3.98,0.00,0.08,0.02,[1 0 0 1 0 1 1 1 0 0 0 0 0 1 1 0]
CycleGAN-arf_04766_01229186883-cof_00610_012372,24.73,4.04,0.00,0.08,0.01,[0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0]
CycleGAN-arf_04766_01229186883-pem_08784_005562,27.18,3.98,0.00,0.08,0.01,[0 0 1 0 1 0 0 0 1 1 0 0 1 0 0 1]
CycleGAN-arf_04766_01317761330-arf_02121_010159,29.32,4.21,0.00,0.07,0.01,[0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 1]
CycleGAN-arf_04766_01317761330-arm_00610_015644,28.26,4.07,0.00,0.07,0.01,[1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1]
CycleGAN-arf_04766_01317761330-clf_09697_009137,24.78,3.81,0.00,0.07,0.01,[1 0 0 1 0 1 1 0 0 0 0 0 1 0 1 0]
CycleGAN-arf_04766_01317761330-clm_07049_018720,26.90,3.60,0.00,0.07,0.01,[0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0]
CycleGAN-arf_04766_01317761330-com_02436_010041,27.98,4.20,0.00,0.07,0.01,[0 1 0 1 1 0 1 1 1 0 0 1 1 1 0 1]
CycleGAN-arf_04766_01317761330-vem_05223_021363,29.10,4.46,0.00,0.07,0.01,[1 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0]
CycleGAN-arf_04766_01707850634-arf_02121_006604,28.81,4.08,0.00,0.13,0.02,[1 0 1 1 1 1 0 0 0 0 0 1 0 1 1 1]
CycleGAN-arf_04766_01707850634-arm_00610_016316,27.94,4.14,0.00,0.12,0.02,[1 1 1 1 0 1 0 0 1 0 1 1 1 1 0 1]
CycleGAN-arf_04766_01707850634-clf_07049_010089,28.36,3.74,0.00,0.13,0.02,[1 1 1 0 1 0 0 1 0 1 0 1 1 1 0 0]
CycleGAN-arf_04766_01707850634-cof_06136_005838,26.78,4.02,0.00,0.12,0.02,[0 1 0 0 1 1 0 0 0 0 1 0 0 1 0 0]
CycleGAN-arf_04766_01707850634-com_02436_018426,28.63,4.24,0.00,0.12,0.02,[1 0 1 1 0 1 1 0 1 1 0 0 0 0 0 0]
